,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
165,166,AC-306,"AC-CTI-B (7.80), AC-AIASI-B (7.80), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs)",8.61,9.0,8.15,8.7,9.0,7.6,7.8,7.8,AC,CTI-B,166,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
166,167,AC-187,"AC-CTI-B (7.77), AC-CTI-T (7.77), AC-AIASI-B (7.77), AC-AIASI-T (7.77), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), MEC-IA-B (abs), MEC-MR-B (abs), MEC-IA-T (abs), MEC-MR-T (abs), MEC-IMEC-B (abs), MEC-IMEC-T (abs)",8.46,9.85,6.2,9.35,9.85,7.6,7.77,7.77,AC,CTI-B,167,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
167,168,AC-273,"AC-CTI-B (7.77), AC-CTI-T (7.77), AC-AIASI-B (7.77), AC-AIASI-T (7.77), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.68,9.9,9.8,9.35,9.9,7.3,7.77,7.77,AC,CTI-B,168,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
168,169,AC-228,"AC-CTI-B (7.76), AC-AIASI-B (7.76), AC-CTI-T (7.76), AC-AIASI-T (7.76), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",8.43,8.9,8.55,7.85,8.9,7.6,7.76,7.76,AC,CTI-B,169,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
169,170,AC-157,"AC-CTI-B (7.76), AC-AIASI-B (7.76), AC-CTI-T (7.76), AC-AIASI-T (7.76), ETTI-IETTI-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-T (abs), IEEIA-IEN-T (abs), IEEIA-IMGM-T (abs)",9.63,9.8,10.0,9.1,9.8,7.3,7.76,7.76,AC,CTI-B,170,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
170,171,AC-48,"AC-CTI-B (7.76), AC-CTI-T (7.76), AC-AIASI-B (7.76), AC-AIASI-T (7.76), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",9.63,9.7,9.85,9.35,9.7,7.3,7.76,7.76,AC,CTI-B,171,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
171,172,AC-256,"AC-CTI-B (7.73), AC-CTI-T (7.73), AC-AIASI-B (7.73), AC-AIASI-T (7.73), ETTI-IETTI-B (abs), IEEIA-IEN-B (abs), IEEIA-IE-B (abs)",9.46,9.75,10.0,8.65,9.75,7.3,,7.73,AC,CTI-T,1,roman,2026-07-23 14:00:00,2,,,,,,,,,matematica
172,173,AC-6,"AC-CTI-B (7.73), AC-CTI-T (7.73), AC-AIASI-B (7.73), AC-AIASI-T (7.73), ETTI-IETTI-B (abs)",9.45,9.75,9.45,9.15,9.75,7.3,,7.73,AC,CTI-T,2,roman,2026-07-23 14:00:00,2,,,,,,,,,informatica
173,174,AC-96,"AC-CTI-B (7.71), AC-CTI-T (7.71), AC-AIASI-B (7.71)",8.16,6.45,8.7,9.35,6.45,7.6,,7.71,AC,CTI-T,3,roman,2026-07-23 14:00:00,2,,,,,,,,,informatica
174,175,AC-395,"AC-CTI-B (7.68), AC-CTI-T (7.68), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",9.20,9.75,9.4,8.45,9.75,7.3,,7.68,AC,CTI-T,4,roman,2026-07-23 14:00:00,2,,,,,,,,,matematica
